PVPS,Period,,,
999.09,395949,,,
749.88,249075,,,
555.84,152853,,,
455.85,97871,,,
296.37,69161,,,
331.74,79491,,,
324.09,125193,,,
480.69,177674,,,
641.7,205637,,,
615.06,193583,,,
692.19,211909,,,
673.92,223216,,,
743.13,281556,,,
732.6,256689,,,
665.01,245368,,,
640.08,258987,,,
620.28,265595,,,
670.32,283416,,,
710.01,310441,,,
762.93,320429,,,
895.86,424381,,,
1089.9,547126,,,
1215.09,568200,,,
1177.38,521665,,,
991.98,387532,,,
675.63,235556,,,
434.43,138575,,,
330.21,91035,,,
275.49,65575,,,
310.32,79520,,,
338.67,125122,,,
416.7,177314,,,
601.92,211982,,,
608.76,219601,,,
618.93,220782,,,
653.67,225510,,,
681.21,272083,,,
694.98,256655,,,
602.28,225424,,,
623.79,251608,,,
613.62,257380,,,
617.13,272900,,,
666.9,300165,,,
731.16,312527,,,
880.83,415526,,,
974.52,488541,,,
1128.87,526534,,,
1066.32,470438,,,
960.84,379484,,,
677.61,250392,,,
483.93,152085,,,
351.27,97960,,,
307.08,76927,,,
313.74,84202,,,
371.79,133406,,,
416.07,178833,,,
538.83,216177,,,
655.2,257832,,,
734.94,286932,,,
731.43,294748,,,
681.66,272879,,,
743.13,296989,,,
731.52,300566,,,
769.86,323980,,,
793.08,345944,,,
790.83,356790,,,
761.67,343170,,,
813.6,323179,,,
953.55,452315,,,
1085.67,519545,,,
1188.18,564474,,,
1209.6,538120,,,
1023.39,408113,,,
797.04,269737,,,
623.43,172108,,,
464.67,107219,,,
395.64,75495,,,
383.22,83541,,,
444.42,134200,,,
476.19,177439,,,
699.48,220280,,,
790.38,243537,,,
853.65,274029,,,
858.42,276154,,,
837.99,262216,,,
807.03,288964,,,
793.44,297337,,,
783.9,317975,,,
790.65,343963,,,
800.37,352722,,,
786.96,341517,,,
843.84,340563,,,
943.83,441721,,,
1112.4,551297,,,
1189.17,578376,,,
1193.58,546262,,,
994.77,404808,,,
748.89,263739,,,
562.23,159929,,,
426.96,100099,,,
363.96,73664,,,
341.73,81824,,,
384.12,126362,,,
443.25,173956,,,
677.97,228872,,,
752.49,259196,,,
811.71,276805,,,
825.75,292495,,,
826.02,308399,,,
866.07,342657,,,
838.8,329670,,,
813.87,345868,,,
804.24,376065,,,
832.59,390251,,,
799.02,372037,,,
824.49,367449,,,
977.22,480652,,,
1123.65,577470,,,
1233.36,615194,,,
1245.42,596066,,,
1104.21,466555,,,
871.38,307683,,,
638.55,187281,,,
513.36,118377,,,
386.46,79705,,,
383.49,84360,,,
416.43,128078,,,
483.84,189947,,,
758.7,268667,,,
841.77,311466,,,
869.13,339419,,,
874.08,354274,,,
823.77,353232,,,
876.96,376531,,,
900.18,409490,,,
952.2,448698,,,
977.13,472542,,,
998.55,482482,,,
949.23,454633,,,
985.59,446275,,,
1146.69,573677,,,
1283.4,692148,,,
1471.68,746278,,,
1397.16,652659,,,
1093.05,454492,,,
787.77,273536,,,
530.19,161993,,,
432.99,96768,,,
365.49,68813,,,
365.85,73047,,,
402.66,113642,,,
507.51,183583,,,
672.75,227500,,,
676.62,211055,,,
650.43,233252,,,
681.57,251059,,,
850.77,359168,,,
780.03,308824,,,
735.12,293831,,,
713.61,313009,,,
717.48,308920,,,
769.86,332836,,,
775.62,381053,,,
866.7,424334,,,
1064.79,563402,,,